,uptrending,easy,love,pop,High pitch,rock,fast,female,old
song1,1,0,1,0,1,1,0,0,0
song2,0,1,1,1,0,0,0,1,0
song3,0,0,0,1,1,1,0,0,0
song4,0,0,1,1,0,0,1,1,0
song5,0,1,0,0,0,0,0,0,1
song6,1,0,0,1,0,0,0,0,0
song7,0,0,0,0,0,0,0,1,0
song8,0,0,1,1,0,0,1,0,0
song9,0,0,0,0,0,1,0,0,1
song10,0,1,0,0,1,0,1,0,0
song11,0,0,1,0,1,0,0,0,1
song12,1,0,0,0,0,1,1,0,0
song13,0,0,1,1,1,0,0,1,0
song14,0,1,1,1,0,0,0,0,1
song15,0,0,0,1,0,1,1,1,0
song16,1,0,0,0,0,1,0,0,1
song17,0,1,1,1,0,0,0,1,0
song18,0,0,0,1,0,0,0,0,1
song19,0,1,1,0,1,0,1,0,0
song20,0,0,1,1,0,0,1,0,1
song21,0,1,0,0,0,1,0,0,0
song22,0,0,1,0,0,0,0,1,0
song23,0,0,0,0,1,0,0,0,0
song24,0,0,0,1,0,1,0,0,0
song25,1,0,0,1,0,0,0,0,0
song26,0,0,1,0,0,1,1,0,0
